x,beta_r_log,beta_theta_log,beta_z_log,full,rel_-0.10,rel_-0.08,rel_-0.06,rel_-0.04,rel_-0.02,rel_+0.00
1.300000000000000044e-01,-3.365274234568005340e-01,4.968024872198384401e-01,4.962847293796812664e+00,2.614512939658197865e+00,9.151688628605825215e-01,1.011834813482437312e+00,1.121008544657797756e+00,1.246060423909511883e+00,1.399506352299795253e+00,1.592765720488387160e+00
2.137755832643195020e-01,-3.356479902549835970e-01,4.970827519912290882e-01,4.847552835087753920e+00,2.615501935991915161e+00,9.132465190475613781e-01,1.010087487856026200e+00,1.119443092960636932e+00,1.244717060586708612e+00,1.398428795624795384e+00,1.591996246617100041e+00
2.729468812791235877e-01,-3.350185514250370034e-01,4.973948833253416524e-01,4.734095145124683768e+00,2.611154188514319685e+00,9.060362860680015729e-01,1.003024814139052978e+00,1.112569630379312002e+00,1.238053001770822448e+00,1.392029866025268348e+00,1.585919822844061855e+00
3.214031735997639472e-01,-3.342787043436601380e-01,4.976884007135140564e-01,4.618524551602831707e+00,2.603188695928793095e+00,8.951715506100299535e-01,9.923440006787132006e-01,1.102084115700563416e+00,1.227767785820788049e+00,1.382004027021821457e+00,1.576227999464663299e+00
3.634556369077249771e-01,-3.333318674947349791e-01,4.979847300035089575e-01,4.502916339106377563e+00,2.591312475033191731e+00,8.804119131866627868e-01,9.777369155017368030e-01,1.087647676172309730e+00,1.213578818664018399e+00,1.368052595296376239e+00,1.562613641823418220e+00
4.011234224026315465e-01,-3.325596145486997557e-01,4.982808282250061893e-01,4.387330755264429172e+00,2.574686159135808339e+00,8.609027025840987335e-01,9.583975985094639327e-01,1.068487251814076444e+00,1.194625857579012518e+00,1.349374781227652420e+00,1.544256852668013380e+00
4.355456348076513495e-01,-3.319859115435974672e-01,4.985552223502054403e-01,4.270832829860182756e+00,2.554171521040871085e+00,8.374590207438359357e-01,9.351231709331386810e-01,1.045413416846940891e+00,1.171746268511242306e+00,1.326763106703765516e+00,1.521982051286840942e+00
4.674398357008097138e-01,-3.314228291628751322e-01,4.988306811526399542e-01,4.153124539243435720e+00,2.530513027920733293e+00,8.108891140068408276e-01,9.087147495279168652e-01,1.019194859566141531e+00,1.145750319579974530e+00,1.301014645633813416e+00,1.496572739796420137e+00
4.972926703662542414e-01,-3.306686376447487419e-01,4.990975794783025776e-01,4.034256953815429370e+00,2.505067339484412514e+00,7.825132844629933970e-01,8.805259447797197936e-01,9.911829324948939757e-01,1.117952886460216178e+00,1.273482500749878454e+00,1.469367882265260050e+00
5.254521862167860213e-01,-3.294840384171493497e-01,4.994432421767669439e-01,3.919165064729668302e+00,2.469995772429456338e+00,7.445538678041430103e-01,8.427317436598968925e-01,9.535744109712140926e-01,1.080556620820516400e+00,1.236358840657203473e+00,1.432564049395068650e+00
5.521775076911409341e-01,-3.290023875024417066e-01,4.997323702582434635e-01,3.802724591679407240e+00,2.431504782975935086e+00,7.031796943124390964e-01,8.014390408561666845e-01,9.125035388990454521e-01,1.039740281925105592e+00,1.195797727575609315e+00,1.392324908238151693e+00
5.776677245614472156e-01,-3.284498070854624530e-01,4.999786200698963512e-01,3.681447130361448217e+00,2.396070622694423946e+00,6.647162314266097383e-01,7.632798184431521804e-01,8.745011702160354616e-01,1.001905168749317454e+00,1.158232126385883021e+00,1.355122308979161971e+00
6.020797289396148111e-01,-3.271737695342835650e-01,5.003340544362799847e-01,3.565854942877422218e+00,2.347321558318071766e+00,6.130090037004265469e-01,7.119515564113498840e-01,8.232353312109808030e-01,9.507777681960760674e-01,1.107435118967714516e+00,1.304659943315300552e+00
6.255397669213365042e-01,-3.270115431064368750e-01,5.005850172778991691e-01,3.446281270527151719e+00,2.299481312775242259e+00,5.629212682833895087e-01,6.608558651066687162e-01,7.726211981662345352e-01,9.007070238453707134e-01,1.057496541108093879e+00,1.254983989298352753e+00
6.481512169239520560e-01,-3.256460918521497661e-01,5.009080544482458208e-01,3.327309786271825942e+00,2.249885952494423691e+00,5.107782202173893893e-01,6.087761897788368515e-01,7.206325574315997073e-01,8.487915881971730414e-01,1.005821435882126025e+00,1.203668496430054802e+00
6.699999999999999289e-01,-3.252442596135551867e-01,5.011701848900429468e-01,3.210175325847330896e+00,2.188309546795608185e+00,4.461597114868709468e-01,5.470983873578916246e-01,6.574132171976998507e-01,7.842624061993319629e-01,9.420086554712270299e-01,1.140511234893892833e+00
6.911584478250989427e-01,-3.241231054573745496e-01,5.014698142247198120e-01,3.088125595951396463e+00,2.136108122243740581e+00,3.961493861481812928e-01,4.930258300817058625e-01,6.028227085153048392e-01,7.304063989010955993e-01,8.879885432122591737e-01,1.086470983295839687e+00
7.116881339463233536e-01,-3.237378027165505046e-01,5.017493285208729503e-01,2.970362219230082701e+00,2.063049518312709552e+00,3.378021759203875263e-01,4.154536816258769250e-01,5.268274286152063723e-01,6.578449058736168809e-01,8.135724912960995425e-01,1.010974621920013305e+00
7.316419889536137644e-01,-3.225368473636081035e-01,5.020036172709296807e-01,2.848055653004166743e+00,2.005788690695453624e+00,2.796657240367039776e-01,3.657082493191410322e-01,4.732798919349079370e-01,5.987914161664775747e-01,7.542960339890214527e-01,9.526619984967510391e-01
7.510659092250159263e-01,-3.219779644325626577e-01,5.018777511622829479e-01,2.730115726308213198e+00,1.923535177326129997e+00,2.059114864039202075e-01,3.216777108150381537e-01,4.084041670182614325e-01,5.119024334021560207e-01,6.695331759942746430e-01,8.712198986415842228e-01
7.699999999999999067e-01,-3.205914940451748407e-01,5.023037327589463530e-01,2.607033478341236332e+00,1.860671133471214489e+00,1.769120716232919222e-01,2.643721686013122962e-01,3.452459736763557885e-01,4.567724323578659096e-01,6.098719879332747951e-01,8.064217702496989659e-01
7.884795495128582576e-01,-3.200972625450049236e-01,5.021183839915011049e-01,2.487008793963241260e+00,1.773717649768968840e+00,3.210192583935622679e-01,1.867249828535477718e-01,2.660751839300701249e-01,4.080938866479755234e-01,5.377204082890330028e-01,7.130353995421501168e-01
8.065358020571684605e-01,-3.170491511639283999e-01,5.022829034828646400e-01,2.363688661830565252e+00,1.708802251272345529e+00,4.693188003557224874e-02,1.204133036480925512e-01,2.223139644286220573e-01,3.502709913050239265e-01,4.721155593756520830e-01,6.513969140087283449e-01
8.241965784932621109e-01,-3.126818575083234464e-01,4.977611166623319150e-01,2.239966802903836651e+00,1.648765430672938237e+00,-1.959706349907719414e-01,2.785725939702388132e-01,3.736966908718386549e-01,2.866463465522883780e-01,4.097665132007932698e-01,6.173022342181866406e-01
8.414867794564570014e-01,-3.071584971792162833e-01,4.969267271803801123e-01,2.113824642151485023e+00,1.574647429265496612e+00,-1.631213922621554957e+00,-9.090143606726996950e-03,2.219614381715473428e-01,1.942255977382956189e-01,3.358286018340095325e-01,5.556426449970786052e-01
