x,beta_r_log,beta_theta_log,beta_z_log,inner,expanded
1.170469991071962645e-01,-9.977941572003601323e-01,9.144294841689770692e-01,5.433715278400086390e+00,4.646133193375590054e-01,6.434554623524491035e-01
1.900000000000000300e-01,-9.979155727535271581e-01,9.152148115276759199e-01,5.346324922186340700e+00,4.629301334091451281e-01,6.420034551979370008e-01
2.418677324489565128e-01,-9.973758329806514666e-01,9.159768120525768609e-01,5.257132189200319772e+00,4.594884025266310346e-01,6.388069142815311352e-01
2.844292530665578633e-01,-9.983704244120872318e-01,9.167461706738322391e-01,5.169262461492962757e+00,4.527752626870551467e-01,6.323280750564208574e-01
3.214031735997639472e-01,-9.984526545281369181e-01,9.175294572116854397e-01,5.081284412540298945e+00,4.436938169760651363e-01,6.234728337517481123e-01
3.545419580247167191e-01,-9.971634318617361714e-01,9.183286003633384098e-01,4.993517851374917882e+00,4.321543987373388518e-01,6.121812035075890890e-01
3.848376280978771380e-01,-9.970698114614151564e-01,9.191282181575388677e-01,4.906141373908212699e+00,4.166971234553784598e-01,5.969458767651758535e-01
4.129164564412515781e-01,-9.979010552285672020e-01,9.199124158953964070e-01,4.818572762133044307e+00,3.986978303771593346e-01,5.792022359685233823e-01
4.392038251199550380e-01,-9.987148797563349945e-01,9.206781969339772331e-01,4.728666455235952526e+00,3.805070025464374339e-01,5.612271210964081547e-01
4.640043103248072676e-01,-9.969258913145040424e-01,9.214769258392152551e-01,4.639668270556285279e+00,3.594543726137544581e-01,5.404162844513393793e-01
4.875448697299562539e-01,-9.979296966378115030e-01,9.222697890720610303e-01,4.552128196593230314e+00,3.323550734535274387e-01,5.136607167344209302e-01
5.100000000000000089e-01,-9.988280972095253674e-01,9.230292027950781630e-01,4.460772072292229495e+00,3.091775255370521336e-01,4.901747648489163112e-01
5.315072906367325212e-01,-9.967221576800966432e-01,9.238554572732482484e-01,4.373121242053912283e+00,2.780807261615336756e-01,4.584085891679023916e-01
5.521775076911409341e-01,-9.989569896617922495e-01,9.246034349530418694e-01,4.282616147150974939e+00,2.477913412235466240e-01,4.281047463905451878e-01
5.721013896155121570e-01,-9.966691440865815821e-01,9.254242561951286916e-01,4.193183591496563167e+00,2.153873042232135049e-01,3.940365967025627469e-01
5.913543776789007556e-01,-9.990517550306776684e-01,9.261841057650599396e-01,4.103182072299205174e+00,1.914787110024462891e-01,3.586251972365062102e-01
6.099999999999999867e-01,-9.966005912076525419e-01,9.269992999350051832e-01,4.012911000899066494e+00,1.618285004667541216e-01,3.221935558883615158e-01
6.280923498976882513e-01,-9.991117579488673073e-01,9.277474627822357434e-01,3.922401826628174604e+00,1.198924448431171186e-01,2.838572089558510925e-01
6.456779382943171886e-01,-9.964938166717729473e-01,9.285641918665987760e-01,3.832220858726032020e+00,8.876070211272235611e-02,2.428202391513423208e-01
6.627971031922212930e-01,-9.991486082583378447e-01,9.292985524211871962e-01,3.740406257008999091e+00,9.643563998906756751e-02,2.144447738317012409e-01
6.794850991743675017e-01,-9.963754622788201232e-01,9.301250737792088330e-01,3.651180973065493163e+00,1.771075540091260336e-01,1.799178592420958012e-01
6.957729514719582786e-01,-9.991577420009889465e-01,9.308335766888831131e-01,3.557399037958930421e+00,-2.733606443428016064e-01,1.560636090403022536e-01
7.116881339463234646e-01,-9.980115112284693168e-01,9.314871442711591953e-01,3.469106987097347883e+00,-9.593983656941418303e-01,1.419708480909775972e-01
7.272551134230682557e-01,-9.964280765473176871e-01,9.323155715890152351e-01,3.375783910541940713e+00,1.713412092385624419e-01,3.815602511281213083e-02
7.424957912338627786e-01,-9.994547396274811035e-01,9.327289482996548031e-01,3.285322117250188967e+00,4.333417919610837998e-01,1.440387329409986705e-01
