x,beta_r_log,beta_theta_log,beta_z_log,inner,expanded
1.300000000000000044e-01,-9.976150019497254107e-01,9.145195419080209831e-01,5.419362368286329001e+00,7.895108325328692445e-01,1.064702042867793352e+00
2.137755832643195020e-01,-9.982141713749115297e-01,9.155284230644156196e-01,5.307675399848221787e+00,7.869611256694497570e-01,1.062617338050131366e+00
2.729468812791235877e-01,-9.973100203808371589e-01,9.165514171627364703e-01,5.195306581669001389e+00,7.803010652196462615e-01,1.056433233515008396e+00
3.214031735997639472e-01,-9.984526545281369181e-01,9.175294572116854397e-01,5.081284412540298945e+00,7.700382103337233275e-01,1.046637479333867304e+00
3.634556369077249771e-01,-9.985577936788558873e-01,9.185488356422411016e-01,4.968710046142632564e+00,7.543389077113715757e-01,1.031399632154261781e+00
4.011234224026315465e-01,-9.986318418953032960e-01,9.195488827629105799e-01,4.855140905135613139e+00,7.350172413111977221e-01,1.012562135684902387e+00
4.355456348076513495e-01,-9.986822868768285844e-01,9.205602003703461378e-01,4.740689412869869557e+00,7.122679963345035503e-01,9.902890850810308621e-01
4.674398357008097138e-01,-9.969464424841589789e-01,9.215823243380327767e-01,4.626608497915185580e+00,6.856329326865306939e-01,9.641204030685912585e-01
4.972926703662542414e-01,-9.968306507346369472e-01,9.226127184547294746e-01,4.512994869401154574e+00,6.518583764147933834e-01,9.308134137597789959e-01
5.254521862167860213e-01,-9.979491460399003699e-01,9.236185383088013623e-01,4.399023481056474338e+00,6.142542294185204810e-01,8.937471697834098450e-01
5.521775076911409341e-01,-9.989569896617922495e-01,9.246034349530418694e-01,4.282616147150974939e+00,5.764005740616084950e-01,8.562649207988215494e-01
5.776677245614472156e-01,-9.967108154285142518e-01,9.256391376766259782e-01,4.166761971191590419e+00,5.346890404211990244e-01,8.149720792971493211e-01
6.020797289396148111e-01,-9.979982370111883938e-01,9.266553929876408802e-01,4.052307404833754845e+00,4.819666040134507057e-01,7.630080075671230588e-01
6.255397669213365042e-01,-9.990750400845627155e-01,9.276334201047120587e-01,3.934757975656566487e+00,4.352348076963608037e-01,7.150165382086015597e-01
6.481512169239520560e-01,-9.965193467564859020e-01,9.286722533374813793e-01,3.818874702687935496e+00,3.814025724580005772e-01,6.592278882067148515e-01
6.699999999999999289e-01,-9.992656761426133016e-01,9.296283843696073745e-01,3.703234724383719367e+00,3.214351239932966564e-01,5.981027926793558436e-01
6.911584478250989427e-01,-9.965102744047271699e-01,9.306645659989953856e-01,3.584353677723584042e+00,2.723226080547647143e-01,5.423764837075850664e-01
7.116881339463233536e-01,-9.980115112284693168e-01,9.314871442711591953e-01,3.469106987097347883e+00,2.320059212479463895e-01,4.676866387853806373e-01
7.316419889536137644e-01,-9.992295260019545822e-01,9.325105921220711025e-01,3.348208293090237930e+00,1.851915818917859724e-01,4.169758402383649809e-01
7.510659092250159263e-01,-9.980587819313768705e-01,9.331297449932662857e-01,3.233444395931428517e+00,1.363365481665823609e-01,3.546198996673410875e-01
7.699999999999999067e-01,-9.990613509103241086e-01,9.338444708362203528e-01,3.112476030793231985e+00,5.128582657221159025e-02,2.924106608759302617e-01
7.884795495128582576e-01,-9.971750186821282114e-01,9.326824351774121169e-01,2.997434381768471212e+00,2.185733742976481153e-01,2.063813583674800611e-01
8.065358020571684605e-01,-9.938847766477465484e-01,9.339733466617872182e-01,2.874165764836789094e+00,-1.690803153024944550e+00,2.063807947649820562e-01
8.241965784932621109e-01,-9.919267057512115571e-01,9.289328954764641821e-01,2.753184149639764655e+00,-4.362653417899764463e-01,3.623227883053914411e-01
8.414867794564570014e-01,-9.816042106081113161e-01,9.279079969815029472e-01,2.618780678176335641e+00,1.083352730120168417e+00,-4.377295397262059851e-02
