x,finite_constitutive_shift_Pa,combined_interface_nonlinear_shift_Pa,difference_Pa
0.13,2.0927215977941103,1.74064992223434,0.35207167555977037
0.2137755832643195,2.094163093724049,1.7154305639065086,0.37873252981754035
0.2729468812791236,2.0926893347806157,1.6903547616854837,0.402334573095132
0.32140317359976395,2.0873450266633142,1.6655459444401117,0.4217990822232025
0.363455636907725,2.0793102639359518,1.6403802142749413,0.43893004966101046
0.40112342240263155,2.0687106494488745,1.6148948792863536,0.45381577016252095
0.43554563480765135,2.0558784397643564,1.5891948733199968,0.4666835664443596
0.4674398357008097,2.039800504204891,1.5632250028317287,0.47657550137316207
0.49729267036625424,2.0176640852231884,1.5380481412118314,0.479615944011357
0.525452186216786,1.9949012753169058,1.5130831153659585,0.48181815995094723
0.5521775076911409,1.9732323453908123,1.486314735105836,0.4869176102849764
0.5776677245614472,1.9400495834910174,1.4610604584839848,0.4789891250070326
0.6020797289396148,1.9107881956041552,1.4356087653531517,0.4751794302510035
0.6255397669213365,1.8767667572990518,1.4090702765733027,0.4676964807257491
0.6481512169239521,1.8376182750302092,1.3841475390617575,0.4534707359684518
0.6699999999999999,1.8017007090871147,1.3569853335445288,0.4447153755425859
0.6911584478250989,1.7539841646558187,1.3319638609750086,0.4220203036808101
0.7116881339463234,1.714576485088017,1.304746072579249,0.40983041250876795
0.7316419889536138,1.6600630101255547,1.2799335375025862,0.3801294726229685
0.7510659092250159,1.6158721221989651,1.2523314448729082,0.363540677326057
0.7699999999999999,1.5607234918259678,1.2269371301987633,0.33378636162720454
0.7884795495128583,1.5101250270555369,1.199238956898256,0.31088607015728087
0.8065358020571685,1.4617761349270637,1.1720650166591184,0.28971111826794527
0.8241965784932621,1.4038831847141324,1.1431154062317717,0.26076777848236077
0.841486779456457,1.370801777633531,1.1096033131334622,0.2611984645000689
